Event Name,Event Type,Event Description,Calendar,All Day,Public/Private,Reported Count,Start Date,End Date,Image URL,Created By,URL
The Casting of Frank Stone,Sale,No content found,sephora Calendar,No,Public,0,September 3,10-09-2024,No Image URL Found,,No URL found
Harry Potter: Quidditch Champions,Sale,"Harry Potter: Quidditch Championsis a brand-newHarry Pottervideo game based on the fictional sport from the franchise. Quidditch is a Wizarding World sport where contestants fly on brooms and attempt to catch the elusive Golden Snitch. It's featured prominently in theHarry Potterbooks and movies, but it was unfortunately absent from the recently releasedopen worldHarry Potteraction-RPGHogwarts Legacy.",sephora Calendar,No,Public,0,September 3,10-09-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2023/04/harry-potter-quidditch-golden-snitch.jpg,,https://gamerant.com/harry-potter-quidditch-champions-game-online-multiplayer/
Parcel Corps,Sale,No content found,sephora Calendar,No,Public,0,September 3,10-09-2024,No Image URL Found,,No URL found
Gimmick! 2,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Girl Genius: Adventures in Castle Heterodyne,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
The Holy Gosh Darn,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Let's Play! Oink Games,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Paper Ghost Stories: Third Eye Open,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Shogun Showdown,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Aero The Acro-Bat 2,Sale,No content found,sephora Calendar,No,Public,0,September 6,13-09-2024,No Image URL Found,,No URL found
Astro Bot,Sale,"Sony capped off its latest PlayStation State of Play event by confirming that a new Astro Bot game will be released on September 6. While the Astro Bot series hasn't been as commercially successful as the platformer mascot games featured on other consoles, the franchise has consistently earned critical acclaim. In fact, the Astro Bot game currently available on PS5 is actually one of the platform's highest-rated games to date.",sephora Calendar,No,Public,0,September 6,13-09-2024,No image found,,https://gamerant.com/video/sony-reveals-sequel-ps5-astro-bot/
NBA 2K25,Sale,No content found,sephora Calendar,No,Public,0,September 6,13-09-2024,No Image URL Found,,No URL found
Perennial Order,Sale,No content found,sephora Calendar,No,Public,0,September 6,13-09-2024,No Image URL Found,,No URL found
SUNSOFT is Back! Retro Game Selection,Sale,No content found,sephora Calendar,No,Public,0,September 6,13-09-2024,No Image URL Found,,No URL found
Warhammer 40k: Space Marine 2,Sale,No content found,sephora Calendar,No,Public,0,September 9,16-09-2024,No Image URL Found,,No URL found
Elsie,Sale,No content found,sephora Calendar,No,Public,0,September 10,17-09-2024,No Image URL Found,,No URL found
Persona 3 Reload - Episode Aigis: The Answer,Sale,No content found,sephora Calendar,No,Public,0,September 10,17-09-2024,No Image URL Found,,No URL found
Rugrats: Adventures in Gameland,Sale,No content found,sephora Calendar,No,Public,0,September 10,17-09-2024,No Image URL Found,,No URL found
Yars Rising,Sale,No content found,sephora Calendar,No,Public,0,September 10,17-09-2024,No Image URL Found,,No URL found
Crossy Road Castle,Sale,No content found,sephora Calendar,No,Public,0,September 11,18-09-2024,No Image URL Found,,No URL found
Kiki - A Vibrant 3D Platformer,Sale,No content found,sephora Calendar,No,Public,0,September 11,18-09-2024,No Image URL Found,,No URL found
Beneath Oresa,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Caravan SandWitch,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Fabledom,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Garden Witch Life,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
The Jackbox Naughty Pack,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Lollipop Chainsaw RePOP,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Marvel vs. Capcom Fighting Collection: Arcade Classics,Sale,"Marvel vs. Capcom Fighting Collection: Arcade Classicsis the latest entry in Capcom'sFighting Collectionseries. With seven games available to play, it's set to revive some of the most classic fighting games of all time. Though it's hard to get one's hopes up after the issues the series has encountered in recent years, it's impossible to ignore that there's suddenly more cause to hold out for a newMarvel vs. Capcomgame.",sephora Calendar,No,Public,0,September 12,19-09-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2024/06/6wjh54wj54.jpg,,https://gamerant.com/marvel-vs-capcom-fighting-collection-mvc4-new-game-when/
Melobot: A Last Song,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Selfloss,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Test Drive Unlimited Solar Crown,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Wild Bastards,Sale,No content found,sephora Calendar,No,Public,0,September 12,19-09-2024,No Image URL Found,,No URL found
Deep Beyond,Sale,No content found,sephora Calendar,No,Public,0,September 13,20-09-2024,No Image URL Found,,No URL found
Demonschool,Sale,No content found,sephora Calendar,No,Public,0,September 13,20-09-2024,No Image URL Found,,No URL found
Edge of Sanity,Sale,No content found,sephora Calendar,No,Public,0,September 13,20-09-2024,No Image URL Found,,No URL found
Evotinction,Sale,No content found,sephora Calendar,No,Public,0,September 13,20-09-2024,No Image URL Found,,No URL found
Funko Fusion,Sale,"It’s hard not to compareFunko Fusionto the LEGO games, but that’s not a bad thing. As a fan of TT Games’ work gameifying and LEGO-ifying properties like Harry Potter, Star Wars, and Batman, the idea of a group of former TT Games devs forming 10:10 Games and making Funko Fusion is exciting. And after seeing a brief hands-off preview ofFunko Fusion, that excitement has only grown.",sephora Calendar,No,Public,0,September 13,20-09-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2024/04/funko-fusion-gameplay-preview.jpg,,https://gamerant.com/funko-fusion-preview-gameplay/
Metro Quester: Osaka,Sale,No content found,sephora Calendar,No,Public,0,September 13,20-09-2024,No Image URL Found,,No URL found
Moe Waifu H Genius,Sale,No content found,sephora Calendar,No,Public,0,September 13,20-09-2024,No Image URL Found,,No URL found
World of Outlaws: Dirt Racing 24,Sale,No content found,sephora Calendar,No,Public,0,September 14,21-09-2024,No Image URL Found,,No URL found
The Plucky Squire,Sale,"Devolver Digital has once again delivered on very promising upcoming indie games set to release over the next couple of years, one example among them beingThe Plucky Squire. With a trailer opening on a children's storybook with charming, cartoony art, it looked set to be another stylistic indie game fromDevolver Digitalabout a hero named Jot and his adventures across the pages of the book.",sephora Calendar,No,Public,0,September 17,24-09-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2022/06/Plucky-Squire-Title-Logo.jpg,,https://gamerant.com/the-plucky-squire-multimedia-design-unique-aesthetic-gameplay-elements/
Prince of Persia: The Lost Crown - Mask of Darkness,Sale,No content found,sephora Calendar,No,Public,0,September 17,24-09-2024,No Image URL Found,,No URL found
Train Sim World 5,Sale,No content found,sephora Calendar,No,Public,0,September 17,24-09-2024,No Image URL Found,,No URL found
A Night On The Farm,Sale,No content found,sephora Calendar,No,Public,0,September 18,25-09-2024,No Image URL Found,,No URL found
Keylocker,Sale,No content found,sephora Calendar,No,Public,0,September 18,25-09-2024,No Image URL Found,,No URL found
Broken Sword - Shadow of the Templars: Reforged,Sale,No content found,sephora Calendar,No,Public,0,September 19,26-09-2024,No Image URL Found,,No URL found
Cricket: Jae's Really Peculiar Game,Sale,No content found,sephora Calendar,No,Public,0,September 19,26-09-2024,No Image URL Found,,No URL found
Dead Rising Deluxe Remaster,Sale,"Capcom has revealed thatDead Rising Deluxe Remaster's release date will be September 18, 2024. Since the announcement thatDead Risingwas getting a remastered version, many fans have been excited at the thought of playing the game with a more modern engine and look. The upcoming title may be able to bring the series back to life.",sephora Calendar,No,Public,0,September 19,26-09-2024,No image found,,https://gamerant.com/dead-rising-deluxe-remaster-release-date-new-features/
Death end re;Quest CodeZ,Sale,No content found,sephora Calendar,No,Public,0,September 19,26-09-2024,No Image URL Found,,No URL found
Enotria: The Last Song,Sale,No content found,sephora Calendar,No,Public,0,September 19,26-09-2024,No Image URL Found,,No URL found
Garden Witch Life,Sale,No content found,sephora Calendar,No,Public,0,September 19,26-09-2024,No Image URL Found,,No URL found
Into the Radius,Sale,No content found,sephora Calendar,No,Public,0,September 19,26-09-2024,No Image URL Found,,No URL found
Astebros,Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
Demons of Asteborg,Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
"El Paso, Elsewhere",Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
Frostpunk 2,Sale,"WhenFrostpunkwas released in 2018, it found a niche aching for new games and capitalized on it in a unique way. City-builders may not be as ubiquitous a genre as the early 2000s, but a survival style of city-builder offered an exciting new take on a classic idea.Frostpunkcaptured that, received impressive reviews, sold over three million copies, and has even been ported to consoles and mobile devices. It should be no surprise then that 11 Bit Studios announced Thursday morning that it was working onFrostpunk 2.",sephora Calendar,No,Public,0,September 20,27-09-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2021/08/frostpunk-2-announcement-trailer.jpg,,https://gamerant.com/frostpunk-2-trailer/
The Karate Kid: Street Rumble,Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
Learn to Play Vol. 6 - Labyrinth,Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
Matchbox Driving Adventures,Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
Morkull Ragast's Rage,Sale,No content found,sephora Calendar,No,Public,0,September 20,27-09-2024,No Image URL Found,,No URL found
Anarkade,Sale,No content found,sephora Calendar,No,Public,0,September 23,30-09-2024,No Image URL Found,,No URL found
Beyond Galaxyland,Sale,No content found,sephora Calendar,No,Public,0,September 24,01-10-2024,No Image URL Found,,No URL found
Bloomtown: A Different Story,Sale,No content found,sephora Calendar,No,Public,0,September 24,01-10-2024,No Image URL Found,,No URL found
The Bridge Curse 2: The Extrication,Sale,No content found,sephora Calendar,No,Public,0,September 24,01-10-2024,No Image URL Found,,No URL found
Disney Epic Mickey: Rebrushed,Sale,No content found,sephora Calendar,No,Public,0,September 24,01-10-2024,No Image URL Found,,No URL found
Mortal Kombat 1: Khaos Reigns,Sale,"At theMortal Kombat 1Year 2 panel at San Diego Comic-Con, NetherRealm Studios officially announced the upcoming expansion titled Khaos Reigns. This new chapter marks the beginning of Year 2 forMortal Kombat 1and introduces the highly anticipated Kombat Pack 2, which will include a range of new DLC fighters and additional content.",sephora Calendar,No,Public,0,September 24,01-10-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2024/07/mortal-kombat-1-1.jpg,,https://gamerant.com/mortal-kombat-1-khaos-reigns-expansion-fighters-release-date/
Rusty Rabbit,Sale,No content found,sephora Calendar,No,Public,0,September 24,01-10-2024,No Image URL Found,,No URL found
"Warhammer 40,000: Rogue Trader - Void Shadows",Sale,No content found,sephora Calendar,No,Public,0,September 24,01-10-2024,No Image URL Found,,No URL found
ZombFarm,Sale,No content found,sephora Calendar,No,Public,0,September 25,02-10-2024,No Image URL Found,,No URL found
63 Days,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Cat Rescue Story,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Games Advent Calendar 2024,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Go Mecha Ball,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Earth Defense Force: World Brothers 2,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Exographer,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
The Holy Gosh Darn,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Iron Meat,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Monopoly,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Shadows of Doubt,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
Worms Armageddon Anniversary Edition,Sale,No content found,sephora Calendar,No,Public,0,September 26,03-10-2024,No Image URL Found,,No URL found
EA Sports FC 25,Sale,"Real Madrid midfielder Jude Bellingham will officially be the featured athlete on the cover ofEA Sports FC 25's Standard Edition, along with being one of the cover stars for the game's Ultimate Edition. At 21 years of age, Bellingham is the youngest star to ever appear on the cover of an EA Sports soccer game, and in addition to gracing the cover ofEA Sports FC 25, he will also serve as the cover athlete forEA Sports FC Mobile.",sephora Calendar,No,Public,0,September 27,04-10-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2024/07/ea-sports-fc-25-keeper-jumps-for-ball-cropped.jpg,,https://gamerant.com/ea-sports-fc-25-cover-star-reveal/
Looney Tunes: Wacky World of Sports,Sale,No content found,sephora Calendar,No,Public,0,September 27,04-10-2024,No Image URL Found,,No URL found
Reynatis,Sale,No content found,sephora Calendar,No,Public,0,September 27,04-10-2024,No Image URL Found,,No URL found
